Name,Index Members,Current Market Cap,Cash and Marketable Securities,#N/A No results found,Short and Long Term Debt,Revenue,Gross Profit,EBITDA,Net Income Available to Common,Cash From Operations,Capital Expenditures,Free Cash Flow,Operating Income or Losses,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Total Equity,Cash from Investing Activities,Cash from Financing Activities,Estimate Comparable Sales,#N/A No results found,Cash and Cash Equivalents,Cost of Revenue,Total Operating Expenses,Comparable EBIT,#N/A No results found,Depreciation & Amortization,Comparable EBITDA,Interest Expense,Interest Income,Other Non-Operating (Income) Loss,Comparable PTP Excluding Stock Based Compensation,Income Tax Expense (Benefit),Estimate Comparable Net Income GAAP,#N/A No results found,#N/A No results found,EBIT,Pre-Tax Income,Estimate Comparable Net Income Adjusted,Preferred Equity and Hybrid Capital,Minority/Non Controlling Interest,Total Capital
Broadridge Financial Solutions,BR UN,17570.64551,227.1,0,4328,5799.5,1606.2,1245.4,522.3,374.1,-28.8,345.3,744.1,1222.1,8090.6,991.7,6186.9,1903.7,-87.6,-378.6,5799.5,179.9,227.1,4193.3,5055.3,1039.7,94.7,452.7,#VALUE!,92.8,3.8,5.7,823.8,127.1,522.3,-87.6,-367.2,744.1,649.4,739.1,0,0,6231.7
Berkshire Hathaway Inc,BRK/B UN,695373.3288,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Brown & Brown Inc,BRO UN,16871.55632,590.7,0,4346,3410.5,#VALUE!,1162.494,623.9,914.426,-45.028,869.398,934.6,4850.8,13658.3,4238.6,9347.7,4310.6,-2102.9,1613.439,3410.5,869.398,579.5,#VALUE!,2587.9,905.8,112,175.383,1103.1,112,0.4,0.4,822.6,194.3,628.3,-2102.9,1797.841,934.6,822.6,639.755,0,0,8656.6
Boston Scientific Corp,BSX UN,66760.02973,338,0,8934,12567,8650,2559,596,1197,-642,555,1427,5144,31947,3549,14307,17640,-2289,-571,12567,555,338,3917,7223,3228,561,1132,#VALUE!,493,7,35,2838,214,611,-2289,-557,1427,866,2484,0,0,26574
BorgWarner Inc,BWA UN,10019.44688,1322,262,4136.000001,15348,2893,1921,818,1221,-700,521,1191,6547,16077,3816,9040,7037,-843,-647,15348,537,1241,12455,#VALUE!,1474,37,730,1969,63,3,14,1188.15,253,818,-843,-557,1191,1154,969,0,262,11173
Boston Properties Inc,BXP UN,11126.44998,375.774,2208.776,13345.591,3049.82,#VALUE!,#VALUE!,911.55,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,22365.258,#VALUE!,14322.462,8042.796,#VALUE!,#VALUE!,3049.82,#VALUE!,375.774,#VALUE!,#VALUE!,1050.67,#VALUE!,728.966,1779.636,420.547,#VALUE!,#VALUE!,#VALUE!,#VALUE!,911.55,#VALUE!,#VALUE!,#VALUE!,#VALUE!,911.55,0,2208.776,21388.387
Citigroup Inc,C UN,91283.87755,648821,19552,718706,89660,#VALUE!,42010,14374,57079,-7786,49293,19581,#VALUE!,2381064,#VALUE!,2181947,199117,-151727,84640,74349,49293,26502,#VALUE!,51839,#VALUE!,#VALUE!,7118,#VALUE!,#VALUE!,58321,0,19581,3773,15505,-151727,88840,34892,19581,14759,18995,557,917823
Conagra Brands Inc,CAG UN,18264.40861,67.4,72.4,9042.2,11786.9,2885.7,1333.3,575.3,1301.2,-434.9,866.3,961.4,3233.8,22219.5,4160.3,13642.8,8576.7,-403.4,-898.4,11786.9,866.3,67.4,8901.2,#VALUE!,1679.9,325.5,371.9,2331.2,400.5,17.7,-57.3,1354.6,235.2,575.7,-403.4,-897.9,961.4,635.9,1173.8,0,72.4,17618.9
Cardinal Health Inc,CAH UN,21134.55802,3492,1,5267,186999,6517,-179,-1094,3791,-390,3401,-874,32696,43387,31559,45167,-1780,-365,-2397,186999,3401,3492,180482,#VALUE!,1885,154,695,2490,#VALUE!,#VALUE!,20,1880,65,-1094,-365,-2362,-874,-1028,1376,0,1,3487
Carrier Global Corp,CARR UN,37598.31695,2985,311,9403,20449,5583,4619,3588,1533,-351,1182,4275,9740,25350,6013,17887,7463,1779,-3097,20449,2087,2985,14866,#VALUE!,2885,-45,344,3229,298,65,-8,2578,682,3588,1779,-2921,4275,4320,2061,0,311,16866
Caterpillar Inc,CAT UN,123144.4682,6346,-25917,36525,56628,16409,10082,7371,6439,-2676,3763,7835,42577,80907,30202,65285,15622,-2690,-6843,53800,3763,6346,40219,48793,7891,-1380,2247,11220,438,114,-1567,9228,1852,7371,-2690,-6744,7835,9215,6769,0,31,52147
Chubb Ltd,CB UN,90974.87057,2128,0,16313,42223,#VALUE!,#VALUE!,6142,11192,0,11192,8001,#VALUE!,198111,#VALUE!,150472,47639,-8110,-2614,42752.0001,11192,2128,#VALUE!,#VALUE!,#VALUE!,#VALUE!,282,#VALUE!,542,#VALUE!,0,6497,1317,6142,-8110,-2326,8001,7459,6407,0,0,63952
Cboe Global Markets Inc,CBOE UF,13661.26237,380.7,0,2009.8,1675.1,#VALUE!,653,241.6,106.1,-46.1,60,459.7,1897,7297.4,1545.2,4003.6,3293.8,-960.8,178.8,1675.1,60,353.3,#VALUE!,1215.4,1062,52.4,164.1,1106.2,54.4,2.6,0.6,1014.4,166.1,240.2,-960.8,220.9,459.7,407.3,728.5,0,0,5303.6
CBRE Group Inc,CBRE UN,25117.90877,1125.011,703.817,4323.038,31183.974,6859.051,2476.146,2018.25,1978.866,-249.438,1729.428,1860.475,8589.957,20215.33,7755.653,11575.686,8639.644,-1329.24,-2302.697,31184.15,1729.428,1125.011,24324.923,29575.441,1951.147,-654.184,615.671,3245.068,66.737,0,-165.748,2514.659,483.918,2018.619,-1329.24,-1978.226,1860.475,2514.659,2180.265,0,703.817,12962.682
Crown Castle Inc,CCI UN,60925.52432,174,0,27768,6876,#VALUE!,4026,1614,2772,-1258,1514,2335,#VALUE!,38861,#VALUE!,31182,7679,-1367,-1598,6876,1514,174,#VALUE!,#VALUE!,2370,706,1691,4234,670,#VALUE!,36,1665,15,1614,-1367,820,2335,1629,1614,0,0,35447
Carnival Corp,CCL UN,12377.5248,7071,0,35285,9616,8378,-2877,-7115,-1921,-4246,-6167,-5136,8432,51917,12955,43538,8379,-3475,5175,9616,-6167,7071,1238,#VALUE!,#VALUE!,1966,2259,-2560,1508,35,493,-6727,13,-7115,-3475,5268,-5136,-7102,-6394,0,0,43664
Ceridian HCM Holding Inc,CDAY UN,10809.23877,408.4,0,1261.4,1192.2,442,65.1,-77.7,90.7,-14.6,76.1,-26.5,5007.2,8006.4,4675.7,5955.2,2051.2,-495.6,-808.7,1192.2,76.1,408.4,750.2,#VALUE!,91.8,44.4,82.6,221.4,30.3,0,0.4,1.7,6.8,-77.7,-495.6,-780.2,-26.5,-70.9,41.8,0,0,3312.6
Cadence Design Systems Inc,CDNS UW,47456.668,1026.051,0,797.799,3434.877,3087.076,1191.773,785.139,1194.116,-101.616,1092.5,1058.249,1670.483,4968.087,1256.994,2259.959,2708.128,-697.537,-484.347,3434.877,1095,1026.051,347.801,2376.628,1295.817,29.357,133.524,1290.571,18.103,0,11.254,1105.52,243.753,785.139,-697.537,-415.551,1058.249,1028.892,1138.907,0,0,3505.927
CDW Corp/DE,CDW UW,25695.85356,384.6,0,6337.8,23847.3,4481.1,1897.2,1042.6,1241.9,-131,1110.9,1627.9,6895.2,13475.6,5358.8,12149.6,1326,-2524.9,1422.5,23847.3,1110.9,384.6,19366.2,#VALUE!,1951.9,234,269.3,2102.6,#VALUE!,#VALUE!,14.3,1723.5,351.3,1042.6,-2524.9,1434.2,1627.9,1393.9,1283.4,0,0,7663.8
Celanese Corp,CE UN,11891.30635,9671,344,12542,9600,2717,2260,1651,1862,-563,1299,1842,13192,21337,2788,16043,5294,-1714,8183,9600,1068,9671,6883,#VALUE!,2184,-206,418,2909,258,37,-69,2196,378,1670,-1714,8247,1842,2048,1868,0,344,17836
Constellation Energy Corp,CEG UW,30102.08229,1192,255,5354,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,9853,46616,7887,35447,11169,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1192,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,366,16523
CF Industries Holdings Inc,CF UN,20590.08354,2192,2653,3246,11118,5760,6195,3191,4750,-451,4299,5305,3680,13280,1381,6183,7097,-391,-2924,11118,4299,2192,5358,529,4894,379,890,5842,413,57,33,4926,1139,3191,-391,-2897,5305,4926,3345,0,2653,10343
Citizens Financial Group Inc,CFG UN,20502.39944,8421,2050,16549,8108,#VALUE!,#VALUE!,1837,3783,-206,3577,2511,#VALUE!,224684,#VALUE!,201538,23146,-19978,10639,7572,3577,1235,#VALUE!,#VALUE!,#VALUE!,#VALUE!,620,#VALUE!,#VALUE!,5239,0,2981,561,1837,-19978,10639,#VALUE!,2511,2196,2050,0,39695
Church & Dwight Co Inc,CHD UN,20319.1106,437.6,0,2686,5308.3,2228.7,1218.6,736.7,874.3,-152.8,721.5,972.6,1564.4,8287.8,1450.6,4600,3687.8,-713,96.3,5308.3,721.5,437.6,3079.6,#VALUE!,972.6,61.3,214.8,1187.4,72.6,0,2.5,911.3,174.6,736.7,-713,107.3,972.6,911.3,736.7,0,0,6373.8
CH Robinson Worldwide Inc,CHRW UW,11440.18348,187.532,0,2562.707,26131.652,1965.68,1570.864,1074.429,952.644,-58.413,894.231,1390.154,4433.366,6795.53,3358.878,5117.969,1677.561,-55.804,-911.957,26131.652,894.231,187.532,24165.972,22804.293,1390.154,75.939,91.361,1481.515,#VALUE!,#VALUE!,75.939,1314.215,239.786,1074.429,-55.804,-896.356,1390.154,1314.215,1074.429,0,0,4240.268
Charter Communications Inc,CHTR UW,70817.90687,480,0,97032,53560,28732,20951,5469,15364,-8528,6836,11878,3754,143669,11595,131319,12350,-8338,-7012,53560,7251,480,24828,41682,12480,4162,8991,21513,4363,0,-201,7716,1418,5469,-8338,-7012,11878,7716,5706,0,3461,109382
Cigna Corp,CI UN,100215.1304,7862,92,32079,180453,23509,11171,6615,10832,-1254,9578,8226,30170,144209,41115,99076,45133,3837,-11092,180575,9578,7079,156944,172227,#VALUE!,-111,2945,#VALUE!,1197,0,-1308,9931,1656,6615,3837,-10975,8226,8337,7342,0,92,77212
Cincinnati Financial Corp,CINF UW,17378.29671,1083,0,887,6766,#VALUE!,#VALUE!,-29,1884,-15,1869,-80,#VALUE!,28199,#VALUE!,18768,9431,-812,-1074,6766,1869,1083,#VALUE!,6900,#VALUE!,#VALUE!,105,#VALUE!,54,#VALUE!,0,-134,-105,-29,-812,-1074,-80,-134,791,0,0,10318
Colgate-Palmolive Co,CL UN,65238.58245,1146,431,8248,17741,10233,3608,1928,2989,-668,2321,3056,5278,16288,4492,15235,1053,-1558,-1451,17741,2321,938,7508,#VALUE!,3676,204,552,3600,#VALUE!,#VALUE!,83,2832,740,1928,-1558,-1392,3056,2852,1935,0,431,9301
Clorox Co/The,CLX UN,18623.70156,278,170,3209,7041,2501,928,405,923,-245,678,703,1763,6153,2010,5657,496,-218,-639,7041,656,278,4540,#VALUE!,721,165,225,898,103,4,66,538,123,407.261,-218,-632,703,538,450.24,0,170,3705
Comerica Inc,CMA UN,9209.883868,5970,400,3524,3349,#VALUE!,#VALUE!,1001,470,-78,392,1319,#VALUE!,84143,#VALUE!,79074,5069,-9975,-8114,3264,392,1735,#VALUE!,#VALUE!,#VALUE!,#VALUE!,94,#VALUE!,#VALUE!,1903,0,1319,290,1008,-9975,-8114,#VALUE!,1319,1001,400,0,8593
Comcast Corp,CMCSA UW,155210.3787,5695,1046,97623,121211,82925,28264,5405,28219,-10090,18129,14333,23416,254308,27999,172966,81342,-15198,-19149,121211,15100,5695,38286,106878,22906,4833,13931,36870,4041,0,-99,18073,4468,5404,-15198,-18971,14333,9500,16161,0,1046,178965
CME Group Inc,CME UW,63621.51499,2221.4,0,3950.3,4958.9,#VALUE!,3392.4,2669.8,2742.8,-92.6,2650.2,2979.3,143252.9,178431.5,140572.7,150180.7,28250.8,-396.5,51514.6,4958.9,2650.2,2130.1,#VALUE!,1979.6,3065.9,-483,366.5,3265,164.7,#VALUE!,795.1,3520.9,784,2678.3,-396.5,51514.6,2979.3,3462.3,2799.7,0,0,32201.1
Chipotle Mexican Grill Inc,CMG UN,44587.19218,783.901,0,3729.168,8414.686,1935.595,1301.444,808.849,1360.026,-457.424,902.602,1022.368,1077.432,6817.437,817.857,4490.056,2327.381,-805.234,-906.195,8414.686,902.602,366.623,6479.091,7392.318,1054.058,-23.334,279.076,1376.762,#VALUE!,#VALUE!,-23.334,1045.702,236.853,808.849,-805.234,-904.774,1022.368,1045.702,847.479,0,0,6056.549
Cummins Inc,CMI UN,35345.86979,2965,1230,8588,26154,6217,3331,1914,1877,-825,1052,2622,14398,29769,10530,20159,9610,-4091,2125,26154,1052,2499,19937,#VALUE!,2613,67,709,3399,138,36,-5,2555,616,1914,-4091,1963,2622,2555,1914,0,1230,18198
CMS Energy Corp,CMS UN,17616.82089,168,788,13755,8351,4349,2269,1296,1003,-2372,-1369,1157,3026,30372,2488,22868,7504,-1581,537,8351,-1369,168,4002,7194,1157,320,1112,2269,506,4,-175,837,77,1296,-1581,537,1157,837,801,224,591,21259
Centene Corp,CNC UN,48590.74287,17178,222,21564,141554,25703,3945,2014,8512,-1019,7493,2203,33275,81172,31330,55572,25600,-3999,-2740,141554,7493,14987,115851,139351,4250,-412,1556,6311,653,0,-26,4643,601,2014,-3999,-2700,2203,2615,3712,0,222,47164
CenterPoint Energy Inc,CNP UN,19399.10656,566,790,16110,8924,6161,2850,1527,2563,-4095,-1532,1548,4083,36719,4611,26728,9991,24,-1948,8924,-1532,114,2763,7376,1367,387,1302,2669,553,#VALUE!,-166,1113,334,1540,24,-1948,1548,1161,910,790,0,26101
Capital One Financial Corp,COF UN,37440.81153,24892,4845,54607,35871,#VALUE!,16518,8179,10314,-838,9476,10755,#VALUE!,444232,#VALUE!,393371,50861,-34746,22865,33328,9476,3716,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3220,#VALUE!,#VALUE!,27206,0,10755,2201,8179,-34746,22865,13298,10755,8179,4845,0,105468
Cooper Cos Inc/The,COO UN,15990.56584,246.3,0.2,3133,3219.5,2104.9,867.2,430.6,736.2,-212.1,524.1,532.7,1597.7,11552.1,1375.7,4469,7083.1,-1797.5,1194.9,3219.5,524.1,246.3,1114.6,#VALUE!,650.3,8.2,334.5,#VALUE!,39.5,0,-45.8,644.1,93.9,430.6,-1797.5,1204,532.7,524.5,610.172,0,0.2,10216.1
ConocoPhillips,COP UN,152544.0176,10422,0,16961,75056,26213,32929,18058,27590,-9183,18407,25641,20453,94837,13997,45758,49079,-14402,-15059,77328,18407,8010,48843,#VALUE!,#VALUE!,-1688,7288,#VALUE!,846,102,-409,27329,9271,18058,-14402,-14576,25641,27329,16975,0,0,66040
Costco Wholesale Corp,COST UW,219443.1297,11049,5,9523,226954,27572,9990,5844,7392,-3891,3501,7793,32696,64166,31998,43519,20647,-3915,-4532,226954,3501,10203,199382,#VALUE!,7793,-47,1900,#VALUE!,158,205,0,7840,1925,5844,-3915,-4283,7793,7840,5844,0,5,30170
Campbell Soup Co,CPB UN,16204.93941,109,2,5049,8562,2627,1579,757,1181,-242,939,1163,1963,11892,2886,8559,3333,-230,-911,8562,939,109,5935,7399,1297,188,337,1634,189,1,0,1113,218,757,-230,-910,1163,975,861,0,2,8382
Copart Inc,CPRT UW,32074.041,1539.391,0,115.722,3584.161,1590.674,1529.723,1075.615,1175.702,-425.407,750.295,1356.379,2364.605,5593.677,504.477,740.843,4852.834,-530.897,-403.787,3584.201,750.295,1539.391,1993.487,2227.782,1356.379,28.148,145.883,1502.262,#VALUE!,#VALUE!,20.989,1331.218,252.616,1075.615,-530.897,-387.1,1356.379,1328.231,1064.235,0,0,4968.556
Camden Property Trust,CPT UN,12797.21255,62.027,70.369,3688.041,1359.283,#VALUE!,795.453,819.901,737.529,-495.496,242.033,247.901,#VALUE!,9414.125,#VALUE!,4305.763,5108.362,-1396.715,963.775,1352.211,242.033,62.027,#VALUE!,#VALUE!,#VALUE!,-586.809,546.252,798.225,107.338,0,-213.828,657.201,2.814,824.079,-451.621,313.61,247.901,834.71,647.989,0,70.369,8796.403
Charles River Laboratories Int,CRL UN,11385.62558,194.651,45.091,3352.599,3781.267,1410.879,965.66,436.394,614.141,-334.484,279.657,659.972,1415.352,7382.769,1014.194,4710.825,2671.944,-642.998,-1.471,3781.267,279.657,193.701,2370.388,#VALUE!,798.232,118.264,293.566,1281.525,36.058,0.746,82.952,505.618,98.379,438.598,-642.998,-12.413,659.972,541.708,546.201,0,45.091,6024.543
Salesforce Inc,CRM UN,144490.0055,11918,0,14644,30294,22020,5136,278,6305,-747,5558,497,19209,91884,18227,32533,59351,-3760,-1222,30294,5558,6076,8274,21523,5717,67,3685,9272,#VALUE!,0,-154,3019,152,278,-3760,-1138,497,430,4413,0,0,73995
Cisco Systems Inc,CSCO UW,204460.2913,19784,0,9853,52289,32541,16301,11502,13761,-531,13230,14071,36141,93054,24896,52782,40272,1774,-15122,52289,13230,7292,19748,18470,17393,-224,1839,20181,371,524,-71,17159,2793,11502,1836,-14847,14071,14295,14168,0,0,50125
CoStar Group Inc,CSGP UW,34019.62414,4774.465,0,1111.894,2115.84,1724.696,647.938,337.981,444.102,-119.017,325.085,464.172,5006.587,8205.863,325.906,1498.951,6706.912,-160.324,729.1,2116.054,325.085,4774.465,391.144,1260.524,672.173,3.879,147.151,682.618,29.696,21.312,-4.505,527.311,122.312,337.981,-160.324,733.192,464.172,460.293,490.927,0,0,7818.806
CSX Corp,CSX UW,67613.4644,2399,9,18537,14550,#VALUE!,7397,4082,5535,-2008,3527,5930,4310,42242,2508,29359,12883,-2058,-3345,14550,3806,2311,#VALUE!,8620,5929,615,1467,7397,723,#VALUE!,-108,5315,1233,4082,-2058,-3345,5930,5315,4082,0,9,31420
Cintas Corp,CTAS UW,47030.71573,74.558,0,3169.618,8123.963,3757.602,2110.987,1254.772,1573.64,-261.94,1311.7,1633.389,2747.79,8261.026,1599.541,5031.4,3229.626,-404.909,-1173.922,8123.963,1311.7,74.558,4366.361,#VALUE!,1603.238,94.369,401.798,2035.187,94.71,0.341,0,1539.02,282.753,1256.267,-404.909,-1174.058,1633.389,1539.02,1256.30571,0,0,6399.244
Catalent Inc,CTLT UN,9464.285173,345,0,4204,4825,1574,1074,422,184,-655,-471,678,2698,10205,943,5505,4700,-1833,-39,4825,-471,281,3251,#VALUE!,678,173,396,1220,#VALUE!,#VALUE!,-5,505,79,426,-1833,23,678,505,#VALUE!,0,0,8904
Coterra Energy Inc,CTRA UN,21635.54453,778,11,2686,8996,5642,6759.014,3972,4924.337,-1473.96,3450.377,5153,2350,20305,1415,7635,12670,-411.279,-3811.618,8996,1820.538,778,3354,3840,4756,57,1606.014,6362,83,0,-26,4670,1124,3972,-411.279,-3811.618,5153,5096,3697,11,0,15356
Cognizant Technology Solutions,CTSH UW,32212.59551,2731,0,1520,19366,7040,3586,2345,2691,-307,2384,3014,7317,17347,3223,5389,11958,-526,-1787,19366,2384,2042,12326,#VALUE!,3014,-25,572,3586,13,39,-1,3039,699,2345,-526,-1704,3014,3039,2345,0,0,13478
Corteva Inc,CTVA UN,48354.59466,2318,240,2853,17109,6951,3161,1361,1400,-620,780,1925,15045,40651,8918,15567,25084,-600,-1321,17218,780,2199,10158,#VALUE!,2175,51,1236,3116,51,94,-18,1858,462,1981,-600,-968,1925,1874,1877,0,240,27937
CVS Health Corp,CVS UN,134852.4206,19989,328,71072,315225,54133,10670,3153,22134,-2636,19498,6357,68341,231212,72409,160201,71011,-6368,-11160,315225,19498,17197,261092,308868,17673,2268,4313,19311,2343,0,-75,7330,928,3154,-6368,-11160,6357,4089,11519,0,328,142083
Chevron Corp,CVX UN,350007.9026,15431,947,23641,227055,47240,53173,34167,46562,-10745,35817,36805,51503,259735,36883,100108,159627,-9785,-27105,237908,35817,15164,179815,191057,#VALUE!,-10046,16368,#VALUE!,548,124,-1851,46851,12539,34167,-9785,-26819,36805,46851,33609,0,947,183268
Caesars Entertainment Inc,CZR UW,11071.61069,944,54,25492,10591,5018,2567,-1185,704,-924,-220,1373,1936,33594,2426,29702,3892,-413,-1938,10591,-220,944,5573,9218,1626,2339,1194,2867,2241,0,98,-980,-163,-1026.6,-413,-1910,1373,-966,-827.73,0,54,29384
Dominion Energy Inc,D UN,50513.14204,163,1783,43303,16141,11432,5711,2305,3173,-7222,-4049,2667,8699,103535,12172,74962,28573,-4159,1059,16141,-4049,163,4709,13474,4233,355,3044,6989,926,#VALUE!,-571,3878,468,2666,-4159,1059,2667,2312,3943,1783,0,71876
Delta Air Lines Inc,DAL UN,22851.95283,8368,0,30836,46617,#VALUE!,4512,82,5731,-5384,347,2455,14799,72596,25870,68006,4590,-2669,-5397,41742,5363,7023,#VALUE!,44162,2452,2055,2057,4510,1056,0,991,1631,318,82,-2669,-5397,2455,400,1246,0,0,35426
DuPont de Nemours Inc,DD UN,35535.31284,1785,541,12236,14184,4972,3246,1846,1335,-742,593,1914,14350,44099,6014,18596,25503,141,-1272,14184,593,1785,9212,#VALUE!,2758,309,1270,3476,505,8,-144,2415,383,1564,141,-1066,1914,1605,1834,0,594,37739
Deere & Co,DE UN,134843.9528,5508,-41167,51899,52577,17239,12084,7131,4699,-3788,911,10189,22905,90030,33125,69673,20357,-8485,602,47917,911,4774,35338,43450,9508,1062,1895,#VALUE!,1062,#VALUE!,0,9127,2007,7131,-8485,826,10189,9127,7131,0,95,72256
Discover Financial Services,DFS UN,28836.24749,10004,1056,20177,13876,#VALUE!,7652,4339,6307,-226,6081,5749,#VALUE!,121886,#VALUE!,107600,14286,-16014,8829,12541,6081,10004,#VALUE!,5053,#VALUE!,#VALUE!,568,#VALUE!,#VALUE!,11646,0,5749,1323,4339,-16014,8829,7084,5749,4426,1056,0,34463
Dollar General Corp,DG UN,54368.91798,362.731,0,16437.83,36293.404,11372.021,5460.682,2354.287,1887.282,-1369.262,518.02,3191.797,8017.016,29007.158,6502.647,22913.352,6093.806,-1365.939,-647.274,36342.052,518.02,362.731,24921.383,#VALUE!,3191.797,175.376,698.885,4240.367,174.961,0,0.415,3016.421,662.134,#VALUE!,-1365.939,-647.274,3191.797,3016.421,2354.287,0,0,22531.636
Quest Diagnostics Inc,DGX UN,17159.42429,700,37,4640,10294,3701,2256,1230,1865,-401,1464,1829,2334,13223,1602,6951,6272,-596,-1556,10294,1464,700,6593,8465,1991,201,427,2418,149,6,99,1650,382,1233,-596,-1556,1829,1628,1368,0,37,10912
DR Horton Inc,DHI UN,29771.74217,2540.5,389.3,6114.8,33480,10504.1,7651.8,5857.5,561.8,-148.2,413.6,7570.4,24228.6,30351.1,4498.6,10565.5,19785.6,-414.9,-811.2,33480,413.6,2540.5,22975.9,#VALUE!,7570.4,-59.3,81.4,7651.8,0,162.5,103.2,7629.7,1734.1,5857.5,-414.9,-811.2,7570.4,7629.7,5857.5,0,389.3,25900.4
Danaher Corp,DHR UN,199825.7617,5150,1676,20247,31250,18953,10803,6640,8311,-1243,7068,8546,14250,81030,8002,34037,46993,-2297,-3416,31250,12244,5150,12297,#VALUE!,10149,362,2257,10812,203,13,172,9504,1419,6662,-2297,-3086,8546,8184,8035,1668,8,67240
Walt Disney Co/The,DIS UN,181429.163,11615,13370,52259,82722,28321,12492,3145,6010,-4943,1067,6533,29098,203631,29073,95253,108378,-5008,-5344,82722,1059,11615,54401,75952,12121,1248,5163,17284,1549,152,667,9565,1732,3553,-5008,-4741,6533,5285,6835,0,13370,160637
DISH Network Corp,DISH UW,8281.669961,1089.136,447.167,22110.064,17082.692,5581.232,3345.765,1920.042,2913.087,-2304.833,608.254,2384.34,2941.863,49003.024,5939.922,31565.891,17437.133,-7503.466,3131.039,17086.071,-248.564,817.512,11501.46,14698.352,2697.149,-122.611,690.086,3387.235,15.586,21.974,-116.223,2506.987,523.101,1920.21,-7503.466,3131.039,2384.34,2506.951,1919.98,0,447.167,39547.197
Digital Realty Trust Inc,DLR UN,32654.81487,176.969,2184.92,17122.221,4569.895,#VALUE!,2127.17,1400.868,1654.903,#VALUE!,#VALUE!,600.484,#VALUE!,39215.217,#VALUE!,20230.276,18984.941,-3609.838,2035.832,4569.894,-2771.982,176.969,#VALUE!,#VALUE!,673.817,-922.663,1526.686,2343.785,284.012,0,-1199.773,#VALUE!,53.187,1400.869,-3609.838,2054.068,600.484,1523.147,1400.869,755,1921.021,36107.162
Dollar Tree Inc,DLTR UW,33380.05416,439,0,10353,27691.6,8685.7,2957.1,1617.4,1146.9,-1192.4,-45.5,2197,6446.6,22909.5,4683.1,14634.2,8275.3,-1199.5,-195.3,27679.4,-45.5,439,19005.9,#VALUE!,2234.244031,177.2,760.1,3183.244031,#VALUE!,#VALUE!,0.4,2057.044031,402.4,1617.4,-1199.5,-192.7,2197,2019.8,1654.644031,0,0,18628.3
Dover Corp,DOV UN,20192.7221,306.002,0,3631.522,8358.142,3018.714,1612.109,1164.582,794.36,-216.347,578.013,1309.414,3377.045,10652.341,2888.754,6660.915,3991.426,-1108.172,-119.33,8358.142,578.013,306.002,5339.428,#VALUE!,1466.174,-115.391,302.695,1769.996,109.732,4.321,-220.802,1307.337,260.223,1164.429,-1108.172,-108.661,1309.414,1424.805,1167.365,0,0,7622.948
Dow Inc,DOW UN,36356.20373,2216,512,14759,59407,9947,10033,5696,7972,-2566,5406,6857,19777,59557,12315,40928,18629,-2718,-5913,59407,6275,2216,49460,#VALUE!,8254,-486,2759,11013,657,125,-531,7645,1589,5688,-2718,-5610,6857,7343,5851,0,512,33388
Domino's Pizza Inc,DPZ UN,13618.14153,130.209,0,5384.15,4488.14,1642.94,866.603,449.646,514.941,-94.028,420.913,741.795,826.398,1646.409,578.737,5962.954,-4316.545,-111.074,-615.115,4488.14,405.731,114.776,2845.2,#VALUE!,741.795,162.578,78.73,820.501,198.144,1.308,-34.258,579.217,129.571,449.646,-111.074,-598.948,741.795,579.217,449.661,0,0,1067.605
Darden Restaurants Inc,DRI UN,17845.86931,377.5,0,5926.9,9770.1,1942,1501.3,914.9,1502.3,-417,1085.3,1126.3,941,10014.5,1825.3,7950.4,2064.1,-423.4,-1642.3,9770.1,0,377.5,7828.1,8643.8,1126.3,73.4,375,1496.1,72.9,0,0.5,1052.9,136.3,916.6,-423.4,-1642.3,1126.3,1052.9,915.7,0,0,7991
DTE Energy Co,DTE UN,22315.18865,26,-19,19751,19399,6085,3201,1124,2107,-3472,-1365,1701,4310,41954,5466,32968,8986,-3536,1424,18175,-1365,26,13314,17698,1862.5,589,1500,#VALUE!,639,32,-18,1256,-6,1124,-3536,1424,1701,1112,1209,0,6,28737
Duke Energy Corp,DUK UN,76668.89977,453,3786,73919,28023,18918,11671,3826,6251,-10774,-4523,5783,12972,176340,16912,124171,52169,-11365,5000,28023,-4523,453,9105,22240,5788.063291,1863,5888,11102.06329,2407,#VALUE!,-544,3912,173,3999,-11365,5000,5783,3920,3976,1962,1824,126088
